materia,profesor,division,turno,dia1,horaInicio1,duracion1,dia2,horaInicio2,duracion2,activo,ac,sede
95-0424,fpessana,R3002,MANANA,JUEVES,1,6,,,,true,A,Medrano
95_0454,fpessana,R2012,MANANA,VIERNES,1,6,,,,true,A,Medrano
95-0496,fpessana,R5051,NOCHE,MIERCOLES,1,5,,,,true,A,Medrano
95-0453,mprietocanalejo,R2004,MANANA,JUEVES,1,5,,,,true,A,Medrano
95-0460,gquintie,R6575,NOCHE,MARTES,1,5,,,,false,C,Medrano
95-0471,gquintie,R6051,NOCHE,MARTES,1,4,,,,true,C,Medrano
95-0441,stapino,R6051,NOCHE,VIERNES,1,5,,,,true,C,Medrano
95-0453,mtrujillo,R2002,MANANA,MIERCOLES,1,5,,,,true,A,Medrano
95-0452,mtrujillo,R1022,MANANA,MARTES,1,5,,,,true,A,Medrano
95-0441,sebastian_verrastro,R6052,NOCHE,LUNES,1,5,,,,true,C,Medrano
95-0452,opaniagu,R1091,NOCHE,VIERNES,1,5,,,,true,A,Campus
95-0002,ngonzalez,R1001,TARDE,MARTES,1,5,JUEVES,1,5,false,A,Medrano
95-0452,ngonzalez,R1032,TARDE,MARTES,1,5,,,,true,A,Virtual
95-0453,ngonzalez,R2003,MANANA,VIERNES,1,5,VIERNES,1,5,true,A,Medrano
95-0452,mmarino,R1024,MANANA,LUNES,1,5,,,,true,A,Campus
95-0424,adidonato,R3051,NOCHE,JUEVES,0,6,,,,true,A,Medrano
95-0452,afleischman,R1052,NOCHE,MARTES,1,5,,,,true,A,Campus
95-0452,mcudek,R1001,MANANA,JUEVES,1,5,,,,true,A,Campus
95-0456,gmolinaro,R3001,MANANA,LUNES,1,4,,,,true,A,Medrano
95-0456,gmolinaro,R3052,MANANA,SABADO,1,4,,,,false,A,Medrano
95-0456,gmolinaro,R3102,MANANA,SABADO,1,4,,0,0,true,A,Medrano
95-0455,rsimone,R3052,NOCHE,MIERCOLES,1,4,,,,true,A,Medrano
95-0447,fsuarez,R2001,MANANA,MARTES,1,5,VIERNES,1,5,true,C,Medrano
95-0447,fsuarez,R2052,NOCHE,LUNES,1,5,JUEVES,1,5,true,C,Medrano
95-0448,cdolores,R4051,NOCHE,JUEVES,0,2,,,,true,A,Medrano
95-0448,cdolores,R4031,TARDE,MIERCOLES,4,2,,,,true,A,Medrano
95-0001,opugliese,R1003,TARDE,LUNES,0,5,,,,true,A,Medrano
95-0440,opugliese,R5053,NOCHE,LUNES,1,4,,,,true,A,Medrano
95-0440,opugliese,R5052,MANANA,SABADO,1,4,SABADO,1,4,true,A,Campus
